internal_name,parameter,description
HSAPSESL,HSG_Application_Gain_Set_Selected,[HSAPSESL] Defines HSG application-specific gain set that has been chosen
HSBKRF,HSG_Breakpoint_Speed,[HSBKRF] HSG base reference speed
HSBKRF02,HSG_Breakpoint_Speed_2,[HSBKRF02] Alternate HSG base reference speed
HSBKRF03,HSG_Breakpoint_Speed_3,[HSBKRF03] Alternate HSG base reference speed
HSBKRFAE,HSG_Active_Breakpoint,[HSBKRFAE] HSG base reference speed currently in use (ESP may select high HP if active)
HSBKST,HSG_Active_Breakpoint_State,[HSBKST] Algorithm controlling Active Breakpoint Speed
HSCNRSFL,HSG_Integrator_Reset,[HSCNRSFL] HSG integrator reset value used to adjust integrator under defined RPM/TVO limi
HSDCES,HSG_Compensated_Engine_Speed,[HSDCES] Measured engine speed after HSG lead/lag filter
HSDP,HSG_Droop,[HSDP] Tool HSG Droop Percent adjustable parameter
HSDP02,HSG_Droop_2,[HSDP02] Tool HSG Droop Percent for Switched Droop 2 adjustable parameter
HSDP03,HSG_Droop_3,[HSDP03] Tool HSG Droop Percent for Switched Droop 3 adjustable parameter
HSDPFG,HSG_Droop_Flag,[HSDPFG] TRUE - Droop HSG; FALSE - Isochronous HSG
HSDPRF,HSG_Droop_Speed,[HSDPRF] HSG reference speed after droop has been calculated
HSDPSL,HSG_Droop_Slope,[HSDPSL] Slope of the line defining the droop line for the HSG reference
HSDPSL02,HSG_Droop_Slope_2,[HSDPSL02] Alternate slope of line defining HSG droop line
HSDPSL03,HSG_Droop_Slope_3,[HSDPSL03] Alternate slope of line defining HSG droop line
HSDPSLAE,HSG_Active_Slope,[HSDPSLAE] Slope of line defining droop for the HSG ref currently active (ESP can select)
HSDPTY,HSG_Droop_Type_Select,[HSDPTY] indicator of what type switch is connected
HSDSPTY,HSG_Droop_Select_Port_Type,"[HSDSPTY] indicator of what type switch is connected 0=discrete, 1=analog"
HSDVAJEN,HSG_Derivative_Gain_Adjustment_Enable,[HSDVAJEN] Flag to enable/disable the HSG derivative gain adjustment scheme.
HSDVAJGN,HSG_Derivative_Gain_Adjusted,[HSDVAJGN] HSG adjusted derivative gain.
HSDVCFXA,HSG_Derivative_Gain_Coef_Table_Error_Axis,[HSDVCFXA] Speed error axis of coefficient table for HSG derivative gain adjustment.
HSDVCFYA,HSG_Derivative_Gain_Coef_Table,[HSDVCFYA] Coefficient table for HSG derivative gain adjustment.
HSDVFL,HSG_Derivative_Term,[HSDVFL] HSG PID derivative fueling contribution
HSDVFLMN,HSG_Derivative_Clamp_Min,[HSDVFLMN] HSG PID Derivative fueling contribution lower limit
HSDVFLMX,HSG_Derivative_Clamp_Max,[HSDVFLMX] HSG PID Derivative fueling contribution upper limit
HSDVGN,HSG_Derivative_Gain,[HSDVGN] HSG PID derivative gain
HSER,HSG_Filtered_Error_Term,[HSER] HSG engine speed error
HSFL,HSG_Fueling,[HSFL] Fueling output of the HSG
HSFTGN,HSG_Error_Filter_Gain,[HSFTGN] HSG engine speed error filter gain
HSFTTC,HSG_Error_Filter_Constant,[HSFTTC] HSG engine speed error filter time constant
HSGADJSZ,HSG_Adj_Size,[HSGADJSZ] Size of HSG adjustable parameters
HSGGRGS,Group_HSG_GR_Gain,[HSGGRGS] HSG Gear Ratio Gain Scheduling
HSGNSDEN,HSG_Gain_Scheduling_Enable,[HSGNSDEN] Bit 0 of 0-15 of word 12h enables HSG gain scheduling
HSGNSESL,HSG_Gain_Set_Selected,[HSGNSESL] Defines HSG gain set that has been chosen
HSGRGSEN,HSG_Gear_Ratio_Gain_Enable,[HSGRGSEN] GEAR RATIO based Gain set selection (Enabled/Disabled) Bit 8 of 0 - 15
HSGVSP,HSG_Governed_Speed,[HSGVSP] Customer Set High Speed governed speed
HSHIFTTC,HSG_High_Ref_Speed_Error_Filter_Constant,[HSHIFTTC] HSG engine speed error filter time constant for high ref speed conditions
HSHIRFTD,HSG_High_Ref_Speed_Threshold,[HSHIRFTD] HSG speed threshold for high reference speed region
HSHRDVGN,HSG_High_Ref_Speed_Derivative_Gain,[HSHRDVGN] HSG PID derivative gain for high reference speed region
HSHRITGN,HSG_High_Ref_Speed_Integral_Gain,[HSHRITGN] HSG PID integrator gain for high reference speed region
HSHRPPGN,HSG_High_Ref_Speed_Proportional_Gain,[HSHRPPGN] HSG PID proportional gain for high reference speed region
HSINRFST,HSG_Indicated_Ref_Speed_State,"[HSINRFST] indicates which alg. controls the HSG, HSG_Indicated_Ref_Speed_State"
HSIRDSBK,HSG_Intermediate_Desired_Active_Breakpoint,[HSIRDSBK] HSG Breakpoint manipulated by many algorithms
HSIRMNBK,HSG_Intermediate_Min_Active_Breakpoint,[HSIRMNBK] HSG Min Breakpoint manipulated by many algorithms
HSIRMXBK,HSG_Intermediate_Max_Active_Breakpoint,[HSIRMXBK] HSG Max Breakpoint manipulated by many algorithms
HSISIDST,HSG_Indicated_Isochronous_Speed_State,[HSISIDST] Winning Active Isochronous Speed State
HSISRF,HSG_Isochronous_Speed,[HSISRF] HSG isochronous speed
HSISRF02,HSG_Isochronous_Speed_2,[HSISRF02] Alternate HSG isochronous speed
HSISRF03,HSG_Isochronous_Speed_3,[HSISRF03] Alternate HSG isochronous speed
HSISRFAE,HSG_Active_Isochronous_Speed,[HSISRFAE] HSG isochronous speed currently in use
HSISRFID,HSG_Indicated_Isochronous_Speed,[HSISRFID] Winning Active Isochronous Speed
HSISSTAE,HSG_Active_Isochronous_Speed_State,[HSISSTAE] Indicator of which alg. is setting HSISRFAE
HSITAJEN,HSG_Integral_Gain_Adjustment_Enable,[HSITAJEN] Flag to enable/disable the HSG integral gain adjustment scheme.
HSITAJGN,HSG_Integral_Gain_Adjusted,[HSITAJGN] HSG Adjusted Integral Gain.
HSITCFXA,HSG_Integral_Gain_Coef_Table_Error_Axis,[HSITCFXA] Speed error axis of coefficient table for HSG integral gain adjustment.
HSITCFYA,HSG_Integral_Gain_Coef_Table,[HSITCFYA] Coefficient for HSG integral gain adjustment.
HSITFL,HSG_Integral_Term,[HSITFL] HSG PID integrator fueling contribution
HSITGN,HSG_Integral_Gain,[HSITGN] HSG PID integrator gain
HSITRSES,HSG_Reset_Rpm,[HSITRSES] Engine speed below which the HSG integrator is reset
HSITRSFL,HSG_Reset_Fuel,[HSITRSFL] Engine fueling below which the HSG integrator may be reset
HSLOFTTC,HSG_Low_Ref_Speed_Error_Filter_Constant,[HSLOFTTC] HSG engine speed error filter time constant for low ref speed conditions
HSLORFTD,HSG_Low_Ref_Speed_Threshold,[HSLORFTD] HSG speed threshold for low reference speed region
HSLRDVGN,HSG_Low_Ref_Speed_Derivative_Gain,[HSLRDVGN] HSG PID derivative gain for low reference speed region
HSLRITGN,HSG_Low_Ref_Speed_Integral_Gain,[HSLRITGN] HSG PID integrator gain for low reference speed region
HSLRPPGN,HSG_Low_Ref_Speed_Proportional_Gain,[HSLRPPGN] HSG PID proportional gain for low reference speed region
HSMNBKRF,HSG_Min_Active_Breakpoint,[HSMNBKRF] HSG Min Breakpoint
HSMNDPFL,HSG_Adj_Fueling_Clamp_Min,[HSMNDPFL] Minimum allowable fuel that may be used to determine HSG droop reference
HSMNFLLM,HSG_Fueling_Clamp_Min,[HSMNFLLM] HSG FUELING CLAMP MIN
HSMNFTRF,HSG_Filter_Clamp_Min,[HSMNFTRF] HSG minimum filtered engine speed error
HSMNITFL,HSG_Integrator_Clamp_Min,[HSMNITFL] HSG minimum integrator fuel output
HSMNITPZ,HSG_Integrator_Preset_Minimum,[HSMNITPZ] HSG INTEGRATOR PRESET MINIMUM
HSMNRF,HSG_Min_Derate_Speed,[HSMNRF] Lower limit of HSG_Ref_Speed_Before_Droop
HSMXBKRF,HSG_Max_Active_Breakpoint,[HSMXBKRF] HSG Max Breakpoint
HSMXDPFL,HSG_Adj_Fueling_Clamp_Max,[HSMXDPFL] Maximum allowable fuel that may be used to determine HSG droop reference
HSMXFLLM,HSG_Fueling_Clamp_Max,[HSMXFLLM] HSG FUELING CLAMP MAX
HSMXFTRF,HSG_Filter_Clamp_Max,[HSMXFTRF] HSG maximum filtered engine speed error
HSMXITFL,HSG_Integrator_Clamp_Max,[HSMXITFL] HSG maximum integrator fuel output
HSMXITPZ,HSG_Integrator_Preset_Maximum,[HSMXITPZ] HSG INTEGRATOR PRESET MAXIMUM
HSMXRF,HSG_Max_Derate_Speed,[HSMXRF] Upper limit of HSG_Ref_Speed_Before_Droop
HSNLOFFG,HSG_Active_No_Load_Offset_Flag,[HSNLOFFG] Flag indicating if Active No Load is offset based
HSNLRPDF,HSG_No_Load_RPM,[HSNLRPDF] Default value set for HSG_Active_No_Load_RPM in HSG Ref. Speed Algorithm
HSOMBKMN,Tool_HSG_OEM_Breakpoint_Speed_Min,[HSOMBKMN] Trimmable lower limit of HSG Breakpoint Speed
HSOMBKMX,Tool_HSG_OEM_Breakpoint_Speed_Max,[HSOMBKMX] Trimmable upper limit of HSG Breakpoint Speed
HSPPAJEN,HSG_Proportional_Gain_Adjustment_Enable,[HSPPAJEN] Flag to enable/disable the HSG proportional gain adjustment scheme.
HSPPAJGN,HSG_Proportional_Gain_Adjusted,[HSPPAJGN] HSG adjusted proportional gain.
HSPPCFXA,HSG_Proportional_Gain_Coef_Table_Error_Axis,[HSPPCFXA] Speed error axis of coefficient table for HSG derivative gain adjustment.
HSPPCFYA,HSG_Proportional_Gain_Coef_Table,[HSPPCFYA] Coefficient for HSG proportional gain adjustment.
HSPPFL,HSG_Proportional_Term,[HSPPFL] HSG PID proportional fueling contribution
HSPPFLMN,HSG_Proportional_Clamp_Min,[HSPPFLMN] HSG PID Proportional fueling contribution lower limit
HSPPFLMX,HSG_Proportional_Clamp_Max,[HSPPFLMX] HSG PID Proportional fueling contribution upper limit
HSPPGN,HSG_Proportional_Gain,[HSPPGN] HSG PID proportional gain
HSRF,HSG_Reference_Speed,[HSRF] Current reference speed being used by the HSG feature
HSRFBEDP,HSG_Ref_Speed_Before_Droop,[HSRFBEDP] Reference speed before droop calculation
HSRFBFDP,HSG_Before_Droop_Speed,[HSRFBFDP] The actual HSG derate speed used in HSG droop calculation
HSRFRMRT,HSG_Ramp_Step,[HSRFRMRT] Incremental step in HSG reference used when reference is increased
HSRFST,HSG_Ref_Speed_State,[HSRFST] HSG REFERENCE SPEED STATE
HSRFTOGS,HSG_Ref_Speed_To_Gain_Sched,[HSRFTOGS] Reference speed before droop sent hsg ref -> hsg gain sched
HSSSDVGN,HSG_Speed_Set_Derivative_Gain,[HSSSDVGN] HSG PID speed-dependant derivative gain
HSSSFTTC,HSG_Speed_Set_Error_Filter_Constant,[HSSSFTTC] HSG speed-dependant engine speed error filter time constant
HSSSITGN,HSG_Speed_Set_Integral_Gain,[HSSSITGN] HSG PID speed-dependant integral gain
HSSSPPGN,HSG_Speed_Set_Proportional_Gain,[HSSSPPGN] HSG PID speed-dependant proportional gain
HSTLBKMN,Tool_HSG_Breakpoint_Speed_Minimum,[HSTLBKMN] Lower limit of HSG Breakpoint Speed
HSTLBKMX,Tool_HSG_Breakpoint_Speed_Maximum,[HSTLBKMX] Upper limit of HSG Breakpoint Speed
HSTLDPMN,Tool_Governor_Droop_Minimum_Percent,[HSTLDPMN] Tool minimum limit for All Governors Droop Percent adjustable parameters
HSTLDPMX,Tool_Governor_Droop_Maximum_Percent,[HSTLDPMX] Tool maximum limit for All Governors Droop Percent adjustable parameters
HSTLINMN,Tool_HSG_Droop_Intercept_Minimum,[HSTLINMN] Minimum of fueling intercept used in determining HSG droop reference
HSTLINMX,Tool_HSG_Droop_Intercept_Maximum,[HSTLINMX] Maximum of fueling intercept used in determining HSG droop reference
HSTLSLMN,Tool_HSG_Droop_Slope_Minimum,[HSTLSLMN] Minimum value of slope of HSG droop line
HSTLSLMX,Tool_HSG_Droop_Slope_Maximum,[HSTLSLMX] Maximum value of slope of line defining HSG droop line
HSTLTYMN,Tool_HSG_Droop_Type_Select_Minimum,[HSTLTYMN] minimum value of indicator of what type switch is connected
HSTLTYMX,Tool_HSG_Droop_Type_Select_Maximum,[HSTLTYMX] maximum value of indicator of what type switch is connected
HSTZDVGN,HSG_Transient_Derivative_Gain,[HSTZDVGN] HSG PID derivative gain for transient conditions
HSTZFTTC,HSG_Transient_Error_Filter_Constant,[HSTZFTTC] HSG engine speed error filter time constant for transient conditions
HSTZITGN,HSG_Transient_Integral_Gain,[HSTZITGN] HSG PID integrator gain for transient conditions
HSTZPPGN,HSG_Transient_Proportional_Gain,[HSTZPPGN] HSG PID proportional gain for transient conditions
HS_GOV,Group_HS_GOV,[HS_GOV] HIGH SPEED GOVERNOR INFORMATION
IDLE_D02,Group_IDLE_D02,[IDLE_D02] Group containing electronic constants for Idle Shutdown
IDLE_D08,Group_IDLE_D08,[IDLE_D08] Group containing application specific constants for Idle Shutdown
IDLE_VAL,Group_IDLE_VAL,[IDLE_VAL] COMMANDED THROTTLE PARAMETERS
IDSPSWSL,Inc_Dec_Separate_Switch_Select,[IDSPSWSL] Indicates sep. inc/dec sw.(TRUE) or inc/dec from multi-purp. sw.(FALSE)
IRDG,Group_IN_RANGE_DIAGNOSE,[IRDG] SENSOR IN RANGE DIAGNOSTIC DATA
ISAATPEN,Idle_Shutdown_Temperature_Enable,[ISAATPEN] bit 10 of 15.selects the temp. interaction option for Idle Shutdown
ISMNIM,Idle_Shutdown_Min_IMT,[ISMNIM] Desired extremely cold temperature by customer
ISMNIMLL,Tool_Idle_Shutdown_Min_IMT_Lower_Limit,[ISMNIMLL] Lowest extremely cold temperature
ISMNIMUL,Tool_Idle_Shutdown_Min_IMT_Upper_Limit,[ISMNIMUL] Highest extremely cold temperature
ISMNTMLM,Tool_Idle_Shutdown_Min_Shutdown_Period,[ISMNTMLM] Least time from start to shutdown flag active
ISMNXMLL,Tool_Idle_Shutdown_Max_IMT_Lower_Limit,[ISMNXMLL] Lowest extremely warm temperature
ISMXIM,Idle_Shutdown_Max_IMT,[ISMXIM] Desired extremely warm temperature by customer
ISMXIMUL,Tool_Idle_Shutdown_Max_IMT_Upper_Limit,[ISMXIMUL] Highest extremely warm temperature
ISMXTMLM,Tool_Idle_Shutdown_Max_Shutdown_Period,[ISMXTMLM] Most time lfrom start to shutdown flag active
ISTMLM,Idle_Shutdown_Period,[ISTMLM] DELAY PERIOD BEFORE IDLE SHUTDOWN OCCURS
JC17RXBF,J1708_Rx_Buffer,[JC17RXBF] J1708 receive buffer
JC17RXFF,J1708_Rx_Full_Flag,[JC17RXFF] J1708 receive buffer full flag
JC17RXIP,J1708_Rx_In_Ptr,[JC17RXIP] J1708 receive buffer pointer
JC17RXMP,J1708_Rx_Mid_Ptr,[JC17RXMP] J1708 receive buffer pointer
JC17RXOP,J1708_Rx_Out_Ptr,[JC17RXOP] J1708 receive buffer pointer
JC17TMCU,J1708_Link_Fault_Timeout_Count,[JC17TMCU] Current number of J1708 (J1922) time-outs since powerdown or fault set
JC17TXBF,J1708_Tx_Buffer,[JC17TXBF] J1708 transmit buffer
JC17TXFF,J1708_Tx_Full_Flag,[JC17TXFF] J1708 transmit buffer full flag
JC17TXIP,J1708_Tx_In_Ptr,[JC17TXIP] J1708 transmit buffer
JC17TXMP,J1708_Tx_Mid_Ptr,[JC17TXMP] J1708 transmit buffer
JC17TXOP,J1708_Tx_Out_Ptr,[JC17TXOP] J1708 transmit buffer
JC1CTQYA,Jcomm_1_Cyl_On_Torque_Axis,[JC1CTQYA] Jcomm Brake map axis dep. axis that defines 1 cyl. braking torque
JC22CCSW,J1922_Monitor_Clear_Enable,"[JC22CCSW] Bit 1 of Bits 0:15 J1922 Monitor Clear Enable 0 = don""t clear J1922 control fla"
JC22CCTM,J1922_Clear_Occurrence_Time,[JC22CCTM] J1922 CLEAR OCCURRENCE TIME TIME FROM LAST J1922 CONTROL BEFORE J1922 CONTROL C
JC22CZEA,J1922_Communication_Enable,[JC22CZEA] bit 2 of 0-15 indicates whether J1922 communication is enabled
JC22EN,Start_J1922_Public_Broadcast,[JC22EN] Bit 1 (0-15) Enables J1922 Broadcasts on Port 1
JC22MRSW,J1922_Monitor_Enable,[JC22MRSW] J1922 Monitor Enable 0 = disable monitor algorithm 1 = enable monitor algori
JC2CTQYA,Jcomm_2_Cyl_On_Torque_Axis,[JC2CTQYA] Jcomm rake map 2 axis dep. axis that defines 2 cyl. braking torque
JC39BCFG,J1939_Broadcast_Flags,"[JC39BCFG] Bit 2 - 39/71 Engine, Bit 3 - 39/71 Retarder, Bit 7 - 39/73 Port 1."
JC39CZEA,J1939_Communication_Enable,[JC39CZEA] bit 3 of 0-15 indicates whether J1939 communication is enabled
JC39EGSA,J1939_Engine_Source_Address,[JC39EGSA] J1939 network address for ECM as engine node
JC39MREA,J1939_Monitor_Enable,[JC39MREA] J1939 Monitor Enable 0 = 1939 monitor algo. disabled 1 = 1939 monitor algo. en
JC39MXEA,J1939_Multiplex_Enable,"[JC39MXEA] bit 10 of 0-15, enables or disables multiplex processing"
JC39NEAE,J1939_Hardware_Detected,[JC39NEAE] Flag to acknowledge presence of J1939 devices: True=present False=no devices
JC39P3RP,Jcomm_Engine_Speed_at_Point_3,[JC39P3RP] Jcomm Engine Speed at Pt 3 RPM at pt 3 of engine config map (follows high hp cu
JC39P4RP,Jcomm_Engine_Speed_at_Point_4,[JC39P4RP] Jcomm Engine Speed at Pt 4 RPM at pt 4 of engine config map (follows high hp cu
JC39P5RP,Jcomm_Engine_Speed_at_Point_5,[JC39P5RP] Jcomm Engine Speed at Pt 5 RPM at pt 5 of engine config map (follows high hp cu
JC39RDSA,J1939_Retarder_Source_Address,[JC39RDSA] J1939 network address for ECM as engine retarder node
JC39TMCU,J1939_Link_Fault_Timeout_Count,[JC39TMCU] Current number of J1939 time-outs since powerdown or fault set
JC39TMER,J1939_Link_Not_Fast_Enough_Error,[JC39TMER] Error indicating a J1939 time-out condition has occurred
JC39TXER,J1939_Link_Cannot_Transmit_Error,[JC39TXER] Error indicating that J1939 transmit buffer is full
JC3CTQYA,Jcomm_3_Cyl_On_Torque_Axis,[JC3CTQYA] Jcomm Brake map 3 axis dep. axis that defines 3 cyl. braking torque
JC4CTQYA,Jcomm_4_Cyl_On_Torque_Axis,[JC4CTQYA] Jcomm Brake map 4 axis dep. axis that defines 4 cyl. braking torque
JC5CTQYA,Jcomm_5_Cyl_On_Torque_Axis,[JC5CTQYA] Jcomm Brake map 5 axis dep. axis that defines 5 cyl. braking torque
JC6CTQYA,Jcomm_6_Cyl_On_Torque_Axis,[JC6CTQYA] Jcomm Brake map 6 axis dep. axis that defines 6 cyl. braking torque
JC87CZEA,J1587_Communication_Enable,[JC87CZEA] bit 1 of 0-15 indicates whether J1587 communication is enabled
JC87EN,Start_J1587_Public_Broadcast,[JC87EN] Bit 0 (0-15) Enables J1587 Broadcasts on Port 1
JCAAPZ,Jcomm_Amb_Cond_Message_Default_Priority,[JCAAPZ] default network priority for Ambient Conditions message
JCABSA,Jcomm_ABS_Source_Address,[JCABSA] Jcomm ABS Source Address source address for anti-lock brake device
JCAEEG,J1939_Active_Engine,[JCAEEG] J1939 Active Engine structure see j1939mon specification
JCAERD,J1939_Active_Retarder,[JCAERD] J1939 Active Retarder see j1939mon specification
JCAKPRMU,J1939_Mux_Air_Conditioner_Pressure_Switch_Input,[JCAKPRMU] Multiplex value for Air Conditioner Pressure switch
JCAKPZ,Jcomm_ACK_Message_Default_Priority,[JCAKPZ] Default priority for ACK message
JCARSA,Jcomm_ASR_Source_Address,[JCARSA] Jcomm ASR Source Address source address for anti-slip regulation device
JCATAETX,Jcomm_AT_Transaction,[JCATAETX] Indicates which protocol has an active Anti-Theft transaction
JCATCMST,Jcomm_AT_Command_State,[JCATCMST] indicates command being requested via datalink (for VAT)
JCATCNSS,Jcomm_AT_Component_Status,[JCATCNSS] indicates the VAT state of the engine via datalink
JCATDLSS,Jcomm_AT_Send_Status_Report,[JCATDLSS] indicates via DL if VAT status report message should be sent
JCATEXMD,Jcomm_AT_Desired_Exit_Mode,[JCATEXMD] indicates desired mode of engine locking at keyoff(for VAT)
JCATEYID,Jcomm_AT_Encryption_Indicator,[JCATEYID] indicates via DL if VAT encryption seed is req'd or if PW is present
JCATEYSD,Jcomm_AT_Encryption_Seed,[JCATEYSD] the random number provided via DL as an encryption seed (for VAT)
JCATPW,Jcomm_AT_Password_Representation,[JCATPW] DL relayed encrypted or unencrypted VAT PW entered by operator
JCATPWVD,Jcomm_AT_Password_Valid,[JCATPWVD] indicates via DL if VAT password entered is valid
JCATSDPR,Jcomm_AT_Encryption_Seed_Present,[JCATSDPR] indicates via DL if VAT encryption seed is present
JCATSSRQ,Jcomm_AT_Status_Of_Request,[JCATSSRQ] indicates via DL if VAT request made was valid and successful
JCAUSHMU,J1939_Mux_Auxiliary_Shutdown_Switch,[JCAUSHMU] Multiplex value for auxiliary shutdown switch
JCBCFG,Broadcast_Flags,[JCBCFG] Bit-mapped configuration of DL broadcast powerup default.
JCBCFGLC,Broadcast_Flags_Local,[JCBCFGLC] Bit-mapped parameter indicates protocols/ports broadcast enabling
JCBCRPXA,Jcomm_Brake_Control_RPM_Axis,[JCBCRPXA] Jcomm Brake Control RPM indep. axis used for J1939 retarder map
JCBRSWMU,J1939_Mux_Brake_Switch,[JCBRSWMU] Multiplex value for brake switch
JCCHSWMU,J1939_Mux_Clutch_Switch,[JCCHSWMU] Multiplex value for clutch switch
JCCMTHMU,J1939_Mux_Commanded_Throttle,"[JCCMTHMU] MUXed value for Commanded Throttle requested, already filtered & IVS validated."
JCCNRXFT,J1939_CAN_Rx_Msg_Filter,[JCCNRXFT] J1939 CAN receive message filter
JCCRVSPZ,Jcomm_CC_VSS_Message_Default_Priority,[JCCRVSPZ] default network priority for CC / VSS message
JCCTMR,Supported_Continuous_Monitors,[JCCTMR] Indicator of software's support of continuously run monitors
JCCZSUFG,Command_Security_Flags,[JCCZSUFG] bit-mapped parameter determining access restriction of commands
JCDFEGNM,J1939_Default_Engine_Name,[JCDFEGNM] Default J1939 network name for ECM as engine node
JCDFEGSA,J1939_Default_Engine_Source_Address,[JCDFEGSA] Default J1939 network address for ECM as engine node
JCDFRDNM,J1939_Default_Retarder_Name,[JCDFRDNM] Default J1939 network name for ECM as retarder node upon power-up
JCDFRDSA,J1939_Default_Retarder_Source_Address,[JCDFRDSA] Default J1939 network address for ECM as retarder node upon power-up
JCDG01PZ,Jcomm_DM1_Message_Default_Priority,[JCDG01PZ] Default priority for Diagnostic Message 1
JCDG02PZ,Jcomm_DM2_Message_Default_Priority,[JCDG02PZ] Default priority for Diagnostic Message 2
JCDG04PZ,Jcomm_DM4_Message_Default_Priority,[JCDG04PZ] Default priority for Diagnostic Message 4
JCDG05PZ,Jcomm_DM5_Message_Default_Priority,[JCDG05PZ] Default priority for Diagnostic Message 5
JCDG08PZ,Jcomm_DM8_Message_Default_Priority,[JCDG08PZ] Default priority for Diagnostic Message 8
JCDG10PZ,Jcomm_DM10_Message_Default_Priority,[JCDG10PZ] Default priority for Diagnostic Message 10
JCDQFLIS,Jcomm_Derated_Fueling_at_Idle,[JCDQFLIS] Jcomm fueling value at idle in engine config. message when torque derate
JCDQFLP3,Jcomm_Derated_Fueling_at_Point_3,[JCDQFLP3] Jcomm fueling value at pt. 3 in engine config. message when torque derate
JCDQFLP4,Jcomm_Derated_Fueling_at_Point_4,[JCDQFLP4] Jcomm fueling value at pt. 4 in engine config. message when torque derate
JCDQFLP5,Jcomm_Derated_Fueling_at_Point_5,[JCDQFLP5] Jcomm fueling value at pt. 5 in engine config. message when torque derate
JCDR1NCY,Jcomm_EB_Driver_1_Num_Cyl,[JCDR1NCY] Indicates # of cyl. brakes driven by eb driver 1 for J1939 ret. map
JCDR2NCY,Jcomm_EB_Driver_2_Num_Cyl,[JCDR2NCY] Indicates # of cyl. brakes driven by eb driver 2 for J1939 ret. map
JCDR3NCY,Jcomm_EB_Driver_3_Num_Cyl,[JCDR3NCY] Indicates # of cyl. brakes driven by eb driver 3 for J1939 ret. map
JCDR4NCY,Jcomm_EB_Driver_4_Num_Cyl,[JCDR4NCY] Indicates # of cyl. brakes driven by eb driver 4 for J1939 ret. map
JCDR5NCY,Jcomm_EB_Driver_5_Num_Cyl,[JCDR5NCY] Indicates # of cyl. brakes driven by eb driver 5 for J1939 ret. map
JCDR6NCY,Jcomm_EB_Driver_6_Num_Cyl,[JCDR6NCY] Indicates # of cyl. brakes driven by eb driver 6 for J1939 ret. map
JCDRDITM,Jcomm_Driveline_Disengaged_TO,[JCDRDITM] Jcomm Driveline Disengaged TO time out for Jcomm_Out_of_Gear parameter
JCDRIDFL,Jcomm_Drivers_Demand_Ind_Fuel,[JCDRIDFL] 4-D fueling value used to determine Jcomm_Drivers_Demand_Ind_Torque.
JCDRIDTQ,Jcomm_Drivers_Demand_Ind_Torque,[JCDRIDTQ] Jcomm Drivers Demand Ind Torque requested torque output of engine by driver
JCDSFL,Jcomm_Fueling_Command,[JCDSFL] Jcomm Fueling Command Fuel commanded to engine as dictated by link user
JCDTSWMU,J1939_Mux_Decrement_Switch,[JCDTSWMU] Multiplex value for decrement switch
JCEBDFPZ,Jcomm_EBC1_Message_Default_Priority,[JCEBDFPZ] Default network priority for Engine Brake Controller #1 message.
JCEBSILM,Jcomm_Retarder_Shift_Assist_Limit,[JCEBSILM] limit to which User Fueling is compared to determine if engine brakes should be
JCEBSWMU,J1939_Mux_EB_Switch_Level,[JCEBSWMU] MUXed value for the amount of Engine Brake requested.
JCEG01PZ,Jcomm_EEC1_Message_Default_Priority,[JCEG01PZ] default network priority for EEC1 message
JCEG02PZ,Jcomm_EEC2_Message_Default_Priority,[JCEG02PZ] default network priority for EEC2 message
JCEG03PZ,Jcomm_EEC3_Message_Default_Priority,[JCEG03PZ] default network priority for EEC3 message
JCEGBCEA,J1939_Engine_Broadcast_Enable,[JCEGBCEA] Bit 2 (0:15) Enables J1939/71 Engine Broadcast
JCEGCGPZ,Jcomm_Engine_Config_Message_Default_Priority,[JCEGCGPZ] default network priority for Engine Configuration message
JCEGCOBY,Jcomm_Engine_Control_Byte,[JCEGCOBY] Byte indicating engine commands as received over datalink
JCEGCOID,Jcomm_Engine_Control_Device_Indicator,[JCEGCOID] 0 = NONE 1 = TRANS 2 = ABS 3 = ASR 4 = UNKNOWN
JCEGCOSA,J1939_Engine_Control_Source,[JCEGCOSA] 0 = NONE 1 = TRANS 2 = ABS 3 = ASR 4 = UNKNOWN
JCEGCOSS,J1939_Engine_Control_Status,[JCEGCOSS] J1939 ENGINE CONTROL STATUS 0 = INACTIVE
JCEGDSRP,Jcomm_Engines_Desired_Operating_RPM,[JCEGDSRP] Jcomm Engine's Desired Operating RPM optimal operating speed of engine under cu
JCEGFDPZ,Jcomm_Engine_Fluid_Message_Default_Priority,[JCEGFDPZ] default network priority for Engine Fluid message
JCEGIDTQ,Jcomm_Actual_Engine_Ind_Torque,[JCEGIDTQ] Jcomm Actual Engine Ind Torque calculated output torque of the engine
JCEGMD,Jcomm_Engine_Control_Mode,[JCEGMD] JCOMM CONTROL MODE 0 = DISABLE 1 = SPEED 2 = TORQUE 3 = LIMIT
JCEGNETY,Jcomm_Engine_Control_Network_Type,"[JCEGNETY] network type in control of engine 0 = J1922, 1 = J1939"
JCEGNM,J1939_Engine_Name,[JCEGNM] J1939 network name for ECM as engine node
JCEGNSOB,J1939_Eng_Non_Specific_Rx_Objects,[JCEGNSOB] CAN number of engine destination non-specific Rx objects
JCEGOPRP,Jcomm_Op_Speed_Asymmetry_Adjustment,[JCEGOPRP] Jcomm Operating Speed Asymmetry Adjustment engine's preference for lower versus
JCEGOSTL,Jcomm_Eng_Overspeed_TL,[JCEGOSTL] Jcomm Engine Overspeed TL time limit for Jcomm_High_Idle_Override parameter
